"Organisation Name",Website,ASN,"Peering Policy","IPv4 Address","IPv6 Address",Location,"Switch Slot/[Pic/]Port","Port Type","Service Speed","Service Type","Membership Type","Route Servers"
"OTEGlobe S.A.",http://www.oteglobe.gr/,12713,Open,195.66.224.190,2001:7f8:4::31a9:1,"Telehouse North (THN)","core3-thn et-2/0/2",100G,100000,Regular,full,"rs1.lon1, rs3.lon1"
"OVH SARL",http://www.ovh.com,16276,Open,195.66.224.220,2001:7f8:4::3f94:1,"Telehouse West (THW)","core3-thw et-2/2/3",100G,100000,Regular,full,"rs1.lon1, rs3.lon1"
"OVH SARL",http://www.ovh.com,16276,Open,195.66.236.220,2001:7f8:4:1::3f94:1,"Telehouse West (THW)","edge4-thw-lon2 ce3/1",100G,100000,Regular,full,"rs1.lon1, rs3.lon1"
"OVH SARL",http://www.ovh.com,16276,Open,195.66.224.220,2001:7f8:4::3f94:1,"Telehouse West (THW)","core3-thw et-2/2/2",100G,100000,Regular,full,"rs1.lon1, rs3.lon1"
"OVH SARL",http://www.ovh.com,16276,Open,195.66.225.6,2001:7f8:4::3f94:2,"Telehouse West (THW)","core3-thw et-3/0/1",100G,100000,Regular,full,"rs1.lon1, rs3.lon1"
"OVH SARL",http://www.ovh.com,16276,Open,195.66.224.220,2001:7f8:4::3f94:1,"Telehouse West (THW)","core3-thw et-2/3/0",100G,100000,Regular,full,"rs1.lon1, rs3.lon1"
"OVH SARL",http://www.ovh.com,16276,Open,195.66.225.6,2001:7f8:4::3f94:2,"Telehouse West (THW)","core3-thw et-3/0/0",100G,100000,Regular,full,"rs1.lon1, rs3.lon1"
"Packet Clearing House (PCH)",http://www.pch.net/,3856,Open,195.66.225.239,2001:7f8:4::f10:1,"Telehouse North (THN)","edge4-thn ge-7/3/4",1000,1000,Regular,associate,"rs1.lon1, rs1.man1, rs1.nva1, rs1.sco1, rs2.man1, rs2.nva1, rs3.lon1"
"Packet Clearing House (PCH)",http://www.pch.net/,3856,Open,195.66.246.22,2001:7f8:4:3::f10:1,"Pulsant Edinburgh (PUE)","edge1-pue.sco1 43",1000,1000,Regular,associate,"rs1.lon1, rs1.man1, rs1.nva1, rs1.sco1, rs2.man1, rs2.nva1, rs3.lon1"
"Packet Clearing House (PCH)",http://www.pch.net/,42,Open,206.55.196.4,2001:504:31::2a:1,"Digital Realty IAD (44521 Hastings) ACC5 (DFT)","edge1-dft.nva1 xe-11/3/0",10G,10000,Regular,associate,"rs1.lon1, rs1.man1, rs1.nva1, rs1.sco1, rs2.man1, rs2.nva1, rs3.lon1"
"Packet Clearing House (PCH)",http://www.pch.net/,3856,Open,195.66.244.56,2001:7f8:4:2::f10:1,"Equinix MA1 Williams House (TCW)","edge7-tcw-man1 xe26",1000T,1000,Regular,associate,"rs1.lon1, rs1.man1, rs1.nva1, rs1.sco1, rs2.man1, rs2.nva1, rs3.lon1"
"Packet Clearing House (PCH)",http://www.pch.net/,42,Open,195.66.244.57,2001:7f8:4:2::2a:1,"Equinix MA1 Williams House (TCW)","edge7-tcw-man1 xe27",1000T,1000,Regular,associate,"rs1.lon1, rs1.man1, rs1.nva1, rs1.sco1, rs2.man1, rs2.nva1, rs3.lon1"
"Packet Clearing House (PCH)",http://www.pch.net/,42,Open,195.66.225.238,2001:7f8:4::2a:1,"Telehouse North (THN)","edge4-thn xe-3/3/0",10G,10000,Regular,associate,"rs1.lon1, rs1.man1, rs1.nva1, rs1.sco1, rs2.man1, rs2.nva1, rs3.lon1"
"Packet Clearing House (PCH)",http://www.pch.net/,42,Open,195.66.246.20,2001:7f8:4:3::2a:1,"Pulsant Edinburgh (PUE)","edge1-pue.sco1 44",1000,1000,Regular,associate,"rs1.lon1, rs1.man1, rs1.nva1, rs1.sco1, rs2.man1, rs2.nva1, rs3.lon1"
"Packet Clearing House (PCH)",http://www.pch.net/,3856,Open,206.55.196.19,2001:504:31::f10:1,"Digital Realty IAD (44521 Hastings) ACC5 (DFT)","edge1-dft.nva1 ge-0/3/2",1000,1000,Regular,associate,"rs1.lon1, rs1.man1, rs1.nva1, rs1.sco1, rs2.man1, rs2.nva1, rs3.lon1"
"Packnet Limited",http://www.pack-net.co.uk/,199516,Open,195.66.244.66,2001:7f8:4:2:0:3:b5c:1,"Equinix MA1 Williams House (TCW)","edge5-tcw-man1 VLAN: 2191",ConneXions,1000,ConneXions,full,"rs1.man1, rs2.man1"
"PageBites Inc",http://imo.im,36131,Open,195.66.224.211,,"Equinix LD6 (EQ4)","edge5-eq4 xe-7/3/2",10G,10000,Regular,full,"rs1.lon1, rs3.lon1"
"PageBites Inc",http://imo.im,36131,Open,195.66.224.211,,"Equinix LD6 (EQ4)","edge5-eq4 xe-8/0/5",10G,10000,Regular,full,"rs1.lon1, rs3.lon1"
"Pakistan Telecommunication Company Ltd",http://www.ptcl.com.pk/,17557,Selective,195.66.225.133,,"Telehouse North (THN)","core4-thn VLAN: 1887",ConneXions,10000,ConneXions,full,"rs1.lon1, rs3.lon1"
"Pangea Connected Limited",http://www.pangea-group.net,207456,"No data",195.66.236.191,2001:7f8:4:1:0:3:2a60:1,"Telehouse East (THE)","edge1-the-lon2 xe12",1000,1000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Pangea Connected Limited",http://www.pangea-group.net,207456,"No data",195.66.227.227,2001:7f8:4::3:2a60:1,"Telehouse East (THE)","edge4-the ge-4/2/5",1000,1000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Paratus Telecommunications Ltd",http://www.internet.ao,33763,Selective,195.66.237.214,2001:7f8:4:1::83e3:1,"Digital Realty Cloud House West (TCM)","edge1-tcm-lon2 xe21",1000T,1000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Paratus Telecommunications Ltd",http://www.internet.ao,33763,Selective,195.66.225.214,2001:7f8:4::83e3:2,"Telehouse North (THN)","edge2-thn xe-2/2/3",10G,10000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Partner Land-Line Communications Solutions LP",http://www.012.net,9116,Open,195.66.226.60,2001:7f8:4::239c:2,"Equinix LD8 Harbour Exchange (TCH)","edge1-tch xe-7/0/4",10G,10000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Partner Land-Line Communications Solutions LP",http://www.012.net,9116,Open,195.66.226.60,2001:7f8:4::239c:2,"Equinix LD8 Harbour Exchange (TCH)","edge1-tch xe-7/0/0",10G,10000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Partner Land-Line Communications Solutions LP",http://www.012.net,9116,Open,195.66.237.114,2001:7f8:4:1::239c:1,"Equinix LD8 Harbour Exchange (TCH)","edge2-tch-lon2 xe21",10G,10000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Partner Land-Line Communications Solutions LP",http://www.012.net,9116,Open,195.66.225.114,2001:7f8:4::239c:1,"Equinix LD8 Harbour Exchange (TCH)","edge4-tch xe-5/0/2",10G,10000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Partner Land-Line Communications Solutions LP",http://www.012.net,9116,Open,195.66.225.114,2001:7f8:4::239c:1,"Equinix LD8 Harbour Exchange (TCH)","edge4-tch xe-3/1/2",10G,10000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Partner Land-Line Communications Solutions LP",http://www.012.net,9116,Open,195.66.225.114,2001:7f8:4::239c:1,"Equinix LD8 Harbour Exchange (TCH)","edge4-tch xe-3/3/5",10G,10000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Partner Land-Line Communications Solutions LP",http://www.012.net,9116,Open,195.66.226.60,2001:7f8:4::239c:2,"Equinix LD8 Harbour Exchange (TCH)","edge1-tch xe-3/1/3",10G,10000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Path Network, Inc",https://path.net,396998,Open,195.66.224.26,2001:7f8:4::6:ec6:1,"Equinix LD8 Harbour Exchange (TCH)","core4-tch et-2/1/1",100G,100000,Regular,full,"rs1.lon1, rs3.lon1"
"PBX Hosting Ltd",http://www.pbxhosting.co.uk,50823,Open,195.66.238.15,2001:7f8:4:1::c687:1,"Telehouse East (THE)","edge2-the-lon2 xe1",1000,1000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"PBX Hosting Ltd",http://www.pbxhosting.co.uk,50823,Open,195.66.226.15,,"Telehouse East (THE)","edge4-the ge-4/0/0",1000,1000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"PCCW Global",http://www.pccwglobal.com,3491,Restrictive,195.66.236.167,2001:7f8:4:1::da3:1,"Equinix LD8 Harbour Exchange (TCH)","edge2-tch-lon2 xe20",10G,10000,Regular,"ConneXions,full",
"PCCW Global",http://www.pccwglobal.com,3491,Restrictive,195.66.224.167,2001:7f8:4::da3:1,"Telehouse East (THE)","edge4-the xe-8/0/4",10G,10000,Regular,"ConneXions,full",
"PhusionIM Ltd",http://www.phusionim.com,58226,Open,195.66.244.74,2001:7f8:4:2::e372:1,"Equinix MA1 Williams House (TCW)","edge7-tcw-man1 xe24",1000,1000,Regular,full,"rs1.lon1, rs1.man1, rs2.man1, rs3.lon1"
