"Organisation Name",Website,ASN,"Peering Policy","IPv4 Address","IPv6 Address",Location,"Switch Slot/[Pic/]Port","Port Type","Service Speed","Service Type","Membership Type","Route Servers"
"01 Telecom Ltd",http://www.01t.co.uk,201933,Open,195.66.239.241,2001:7f8:4:1:0:3:14cd:1,"Telehouse North (THN)","edge1-thn-lon2 xe18",10G,10000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"01 Telecom Ltd",http://www.01t.co.uk,201933,Open,195.66.227.214,2001:7f8:4::3:14cd:1,"Telehouse North (THN)","edge2-thn xe-4/1/0",10G,10000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"100 Percent IT",http://www.100percentit.com,20915,Open,195.66.225.213,2001:7f8:4::51b3:1,"Telehouse North (THN)","edge1-thn ge-8/0/1",1000,1000,Regular,full,"rs1.lon1, rs3.lon1"
"23media GmbH",https://23m.com,47447,Open,195.66.227.70,2001:7f8:4::b957:1,"Telehouse East (THE)","edge4-the VLAN: 397",ConneXions,1000,ConneXions,full,
"24Shells Inc",https://www.24shells.net/,55081,Open,195.66.227.116,2001:7f8:4::d729:1,"Telehouse North (THN)","edge3-thn xe-5/3/1",10G,10000,Regular,full,"rs1.lon1, rs3.lon1"
"31173 Services AB",http://www.31173.se/,39351,Open,195.66.226.62,2001:7f8:4::99b7:1,"Interxion LON2 (IN2)","edge1-in2 xe-8/3/3",10G,10000,Regular,full,"rs1.lon1, rs3.lon1"
"34SP.com Ltd",http://www.34sp.com/,41357,Open,195.66.244.35,2001:7f8:4:2::a18d:1,"Equinix MA1 Williams House (TCW)","edge5-tcw-man1 VLAN: 2188",ConneXions,100,ConneXions,full,"rs1.man1, rs2.man1"
"4D Data Centres Ltd",http://www.4d-dc.com,31463,Selective,195.66.237.215,2001:7f8:4:1::7ae7:1,"Telehouse East (THE)","edge2-the-lon2 xe28",1000,1000,Regular,"ConneXions,full","rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"4D Data Centres Ltd",http://www.4d-dc.com,31463,Selective,195.66.225.215,2001:7f8:4::7ae7:1,"Telehouse North (THN)","edge3-thn xe-4/2/1",10G,10000,multiservice_port,"ConneXions,full","rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Aamra Technologies Limited",https://www.aamra.com.bd/,58601,Open,195.66.227.59,2001:7f8:4::e4e9:1,"Telehouse North (THN)","core3-thn VLAN: 1560",ConneXions,10000,ConneXions,full,"rs1.lon1, rs3.lon1"
"AARNet Pty",http://,7575,Selective,195.66.236.81,2001:7f8:4:1::1d97:1,"Equinix LD8 Harbour Exchange (TCH)","edge2-tch-lon2 xe29",10G,10000,Regular,full,"rs2.lon2, rs4.lon2"
"Abtec Network Systems",https://www.abtecnet.com/,199286,Open,195.66.239.216,2001:7f8:4:1:0:3:a76:1,"Telehouse West (THW)","edge3-thw-lon2 xe7",1000,1000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Abtec Network Systems",https://www.abtecnet.com/,199286,Open,195.66.227.238,2001:7f8:4::3:a76:1,"Telehouse North (THN)","edge3-thn ge-7/1/9",1000,1000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Academia Ltd",http://www.academia.co.uk,47704,Open,195.66.226.72,2001:7f8:4::ba58:1,"Telehouse North (THN)","edge1-thn xe-2/2/2",10G,10000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Academia Ltd",http://www.academia.co.uk,47704,Open,195.66.238.72,2001:7f8:4:1::ba58:1,"Telehouse North (THN)","edge4-thn-lon2 xe13",1000,1000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Access UK Ltd",,50292,Open,195.66.225.130,2001:7f8:4::c474:1,"Telehouse West (THW)","edge1-thw xe-9/3/2",10G,10000,Regular,full,
"Aceville PTE.LTD",https://www.tencent.com/en-us,132203,Open,195.66.227.125,2001:7f8:4::2:46b:1,"Equinix LD6 (EQ4)","edge4-eq4 et-4/1/2",100G,100000,Regular,full,"rs1.lon1, rs3.lon1"
"Acme Internet Ltd",http://www.acme-internet.com/,51603,Open,195.66.225.59,2001:7f8:4::c993:1,"Telehouse North (THN)","core4-thn VLAN: 1102",ConneXions,2000,ConneXions,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Acme Internet Ltd",http://www.acme-internet.com/,51603,Open,195.66.237.59,2001:7f8:4:1::c993:1,"Telehouse North (THN)","edge2-thn-lon2 VLAN: 1202",ConneXions,1000,ConneXions,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Acora Ltd",http://www.veber.co.uk,29006,Open,195.66.236.95,2001:7f8:4:1::714e:1,"Telehouse North2 (TH2)","edge1-th2-lon2 xe5",1000,1000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Acora Ltd",http://www.veber.co.uk,29006,Open,195.66.224.95,2001:7f8:4::714e:1,"Telehouse North2 (TH2)","edge1-th2 ge-9/0/4",1000,1000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Acorus Networks",https://www.acorus-networks.com,35280,Selective,195.66.225.161,2001:7f8:4::89d0:1,"Telehouse North (THN)","core3-thn et-2/4/2",100G,100000,Regular,full,"rs1.lon1, rs3.lon1"
"Acronis Limited",https://www.acronis.com/,202885,Selective,195.66.227.51,2001:7f8:4::3:1885:1,"Telehouse North (THN)","edge4-thn xe-4/0/0",10G,10000,Regular,full,"rs1.lon1, rs3.lon1"
"Acronis Limited",https://www.acronis.com/,202885,Selective,195.66.227.141,2001:7f8:4::3:1885:2,"Telehouse North (THN)","edge4-thn xe-2/1/2",10G,10000,Regular,full,"rs1.lon1, rs3.lon1"
Adista,http://www.adista.fr,16347,Selective,195.66.226.104,2001:7f8:4::3fdb:1,"Telehouse North (THN)","core3-thn VLAN: 13",ConneXions,10000,ConneXions,full,"rs1.lon1, rs3.lon1"
"Adobe Systems Incorporated",http://www.adobe.com,15224,Selective,195.66.225.147,2001:7f8:4::3b78:2,"Equinix LD6 (EQ4)","edge5-eq4 xe-3/2/3",10G,10000,Regular,full,
"Adobe Systems Incorporated",http://www.adobe.com,15224,Selective,195.66.227.168,2001:7f8:4::3b78:1,"Equinix LD6 (EQ4)","edge5-eq4 xe-3/3/3",10G,10000,Regular,full,
"Advanced Wireless Network Co. Ltd.",http://www.awn.co.th/en/,45430,Selective,195.66.225.218,2001:7f8:4::b176:1,"Telehouse North (THN)","edge1-thn ge-7/1/4",1000,1000,Regular,full,"rs1.lon1, rs3.lon1"
Advania,http://www.advania.com/,30818,Open,195.66.224.6,2001:7f8:4::7862:1,"Telehouse North (THN)","edge1-thn xe-5/0/1",10G,10000,Regular,full,"rs1.lon1, rs3.lon1"
"Afilias Limited",http://www.afilias.info,12041,Selective,195.66.224.55,2001:7f8:4::2f09:1,"Telehouse North (THN)","core4-thn VLAN: 838",ConneXions,1000,ConneXions,full,"rs1.lon1, rs3.lon1, rs4.lon2"
"Afilias Limited",http://www.afilias.info,12041,Selective,195.66.236.55,2001:7f8:4:1::2f09:1,"Telehouse East (THE)","edge2-the-lon2 VLAN: 839",ConneXions,1000,ConneXions,full,"rs1.lon1, rs3.lon1, rs4.lon2"
AFNIC,http://www.afnic.fr/,2484,Open,195.66.227.3,2001:7f8:4::9b4:1,"Telehouse North (THN)","edge1-thn ge-8/3/1",1000,1000,Regular,full,"rs1.lon1, rs3.lon1"
"AFR-IX Telecom",http://afr-ix.com/,60171,Selective,195.66.226.123,2001:7f8:4::eb0b:1,"Telehouse North (THN)","edge3-thn xe-2/0/1",10G,10000,Regular,"ConneXions,full","rs1.lon1, rs3.lon1"
"Agile Solutions Provider (Pty) Ltd",http://www.agilesp.co.za,328748,Selective,195.66.227.100,2001:7f8:4::5:42c:1,"Telehouse North (THN)","core3-thn VLAN: 1768",ConneXions,1000,ConneXions,full,"rs1.lon1, rs3.lon1"
"Airband Community Internet Ltd",http://www.airband.co,203568,Open,195.66.227.36,2001:7f8:4::3:1b30:1,"Telehouse North (THN)","edge1-thn xe-5/3/0",10G,10000,Regular,full,"rs1.lon1, rs1.man1, rs2.lon2, rs2.man1, rs3.lon1, rs4.lon2"
"Airband Community Internet Ltd",http://www.airband.co,203568,Open,195.66.244.101,2001:7f8:4:2:0:3:1b30:1,"Equinix MA3 Joule House (TCJ)","edge2-tcj-man1 xe13",10G,10000,Regular,full,"rs1.lon1, rs1.man1, rs2.lon2, rs2.man1, rs3.lon1, rs4.lon2"
"Airband Community Internet Ltd",http://www.airband.co,203568,Open,195.66.239.36,2001:7f8:4:1:0:3:1b30:1,"Telehouse North (THN)","edge3-thn-lon2 xe7",1000,1000,Regular,full,"rs1.lon1, rs1.man1, rs2.lon2, rs2.man1, rs3.lon1, rs4.lon2"
"Airbeam S.r.l.",http://,50877,Open,195.66.227.183,2001:7f8:4::c6bd:1,"Telehouse North (THN)","edge2-thn VLAN: 12",ConneXions,1000,ConneXions,full,"rs1.lon1, rs3.lon1"
"Aire Networks del Mediterraneo S.L.U",http://www.airenetworks.es/en/,29119,Selective,195.66.227.29,2001:7f8:4::71bf:1,"Equinix LD6 (EQ4)","edge5-eq4 xe-2/0/2",10G,10000,Regular,full,"rs1.lon1, rs3.lon1"
"Aire Networks del Mediterraneo S.L.U",http://www.airenetworks.es/en/,29119,Selective,195.66.227.29,2001:7f8:4::71bf:1,"Equinix LD6 (EQ4)","edge5-eq4 xe-2/0/3",10G,10000,Regular,full,"rs1.lon1, rs3.lon1"
"Airtel Chad",https://www.airtel.td/,327708,Selective,195.66.226.139,2001:7f8:4::5:4c:1,"Telehouse East (THE)","edge4-the ge-4/1/0",1000,1000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Airtel Chad",https://www.airtel.td/,327708,Selective,195.66.238.139,2001:7f8:4:1:0:5:4c:1,"Telehouse East (THE)","edge1-the-lon2 xe8",10G,10000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Akamai Technologies Inc.",http://www.akamai.com/,20940,Open,195.66.246.28,2001:7f8:4:3::51cc:1,"DataVita Glasgow DC1/DC2 (DVG)","edge1-dvg.sco1 31",10G,10000,Regular,full,"rs1.lon1, rs1.man1, rs1.nva1, rs1.sco1, rs2.man1, rs2.nva1, rs3.lon1"
"Akamai Technologies Inc.",http://www.akamai.com/,20940,Open,195.66.246.28,2001:7f8:4:3::51cc:1,"DataVita Glasgow DC1/DC2 (DVG)","edge1-dvg.sco1 30",10G,10000,Regular,full,"rs1.lon1, rs1.man1, rs1.nva1, rs1.sco1, rs2.man1, rs2.nva1, rs3.lon1"
"Akamai Technologies Inc.",http://www.akamai.com/,20940,Open,195.66.224.168,2001:7f8:4::51cc:1,"Equinix LD8 Harbour Exchange (TCH)","core3-tch et-2/5/0",100G,100000,Regular,full,"rs1.lon1, rs1.man1, rs1.nva1, rs1.sco1, rs2.man1, rs2.nva1, rs3.lon1"
"Akamai Technologies Inc.",http://www.akamai.com/,32787,Selective,195.66.236.31,2001:7f8:4:1::8013:1,"Equinix LD4 (EQ4)","edge2-eq4-lon2 xe3",10G,10000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Akamai Technologies Inc.",http://www.akamai.com/,32787,Selective,195.66.224.31,2001:7f8:4::8013:1,"Equinix LD6 (EQ4)","edge3-eq4 et-4/1/5",100G,100000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Akamai Technologies Inc.",http://www.akamai.com/,32787,Selective,195.66.224.31,2001:7f8:4::8013:1,"Equinix LD6 (EQ4)","edge3-eq4 et-4/0/5",100G,100000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Akamai Technologies Inc.",http://www.akamai.com/,20940,Open,206.55.196.30,2001:504:31::51cc:1,"Digital Realty IAD (44521 Hastings) ACC5 (DFT)","edge1-dft.nva1 xe-11/0/3",10G,10000,Regular,full,"rs1.lon1, rs1.man1, rs1.nva1, rs1.sco1, rs2.man1, rs2.nva1, rs3.lon1"
"Akamai Technologies Inc.",http://www.akamai.com/,32787,Selective,195.66.224.31,2001:7f8:4::8013:1,"Equinix LD6 (EQ4)","edge3-eq4 et-8/0/2",100G,100000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Akamai Technologies Inc.",http://www.akamai.com/,20940,Open,195.66.226.81,2001:7f8:4::51cc:2,"Interxion LON2 (IN2)","core3-in2 et-2/1/2",100G,100000,Regular,full,"rs1.lon1, rs1.man1, rs1.nva1, rs1.sco1, rs2.man1, rs2.nva1, rs3.lon1"
"Akamai Technologies Inc.",http://www.akamai.com/,32787,Selective,195.66.236.31,2001:7f8:4:1::8013:1,"Equinix LD4 (EQ4)","edge2-eq4-lon2 xe1",10G,10000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Akamai Technologies Inc.",http://www.akamai.com/,20940,Open,195.66.226.81,2001:7f8:4::51cc:2,"Interxion LON2 (IN2)","core3-in2 et-2/2/1",100G,100000,Regular,full,"rs1.lon1, rs1.man1, rs1.nva1, rs1.sco1, rs2.man1, rs2.nva1, rs3.lon1"
"Akamai Technologies Inc.",http://www.akamai.com/,20940,Open,195.66.224.168,2001:7f8:4::51cc:1,"Equinix LD8 Harbour Exchange (TCH)","core3-tch et-2/2/1",100G,100000,Regular,full,"rs1.lon1, rs1.man1, rs1.nva1, rs1.sco1, rs2.man1, rs2.nva1, rs3.lon1"
"Akamai Technologies Inc.",http://www.akamai.com/,20940,Open,195.66.224.168,2001:7f8:4::51cc:1,"Equinix LD8 Harbour Exchange (TCH)","core3-tch et-2/3/2",100G,100000,Regular,full,"rs1.lon1, rs1.man1, rs1.nva1, rs1.sco1, rs2.man1, rs2.nva1, rs3.lon1"
"Akamai Technologies Inc.",http://www.akamai.com/,20940,Open,195.66.224.168,2001:7f8:4::51cc:1,"Equinix LD8 Harbour Exchange (TCH)","core3-tch et-2/3/1",100G,100000,Regular,full,"rs1.lon1, rs1.man1, rs1.nva1, rs1.sco1, rs2.man1, rs2.nva1, rs3.lon1"
"Akamai Technologies Inc.",http://www.akamai.com/,20940,Open,195.66.226.81,2001:7f8:4::51cc:2,"Interxion LON2 (IN2)","core3-in2 et-2/2/0",100G,100000,Regular,full,"rs1.lon1, rs1.man1, rs1.nva1, rs1.sco1, rs2.man1, rs2.nva1, rs3.lon1"
"Akamai Technologies Inc.",http://www.akamai.com/,20940,Open,195.66.226.81,2001:7f8:4::51cc:2,"Interxion LON2 (IN2)","core3-in2 et-2/1/3",100G,100000,Regular,full,"rs1.lon1, rs1.man1, rs1.nva1, rs1.sco1, rs2.man1, rs2.nva1, rs3.lon1"
"Akamai Technologies Inc.",http://www.akamai.com/,32787,Selective,195.66.236.31,2001:7f8:4:1::8013:1,"Equinix LD4 (EQ4)","edge2-eq4-lon2 xe2",10G,10000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Akamai Technologies Inc.",http://www.akamai.com/,32787,Selective,195.66.236.31,2001:7f8:4:1::8013:1,"Equinix LD4 (EQ4)","edge2-eq4-lon2 xe4",10G,10000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Akamai Technologies Inc.",http://www.akamai.com/,32787,Selective,195.66.224.31,2001:7f8:4::8013:1,"Equinix LD6 (EQ4)","edge3-eq4 et-9/0/2",100G,100000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Akamai Technologies Inc.",http://www.akamai.com/,20940,Open,195.66.244.53,2001:7f8:4:2::51cc:1,"Equinix MA1 Williams House (TCW)","edge8-tcw-man1 ce12/1",100G,100000,Regular,full,"rs1.lon1, rs1.man1, rs1.nva1, rs1.sco1, rs2.man1, rs2.nva1, rs3.lon1"
"Alibaba Cloud CDN (AliCDN)",https://www.alibabacloud.com/,24429,Open,195.66.227.194,2001:7f8:4::5f6d:1,"Equinix LD6 (EQ4)","edge5-eq4 xe-7/0/1",10G,10000,Regular,full,"rs1.lon1, rs3.lon1"
"Alibaba Cloud CDN (AliCDN)",https://www.alibabacloud.com/,24429,Open,195.66.227.194,2001:7f8:4::5f6d:1,"Equinix LD6 (EQ4)","edge5-eq4 xe-5/2/1",10G,10000,Regular,full,"rs1.lon1, rs3.lon1"
"Alibaba Cloud CDN (AliCDN)",https://www.alibabacloud.com/,24429,Open,195.66.227.194,2001:7f8:4::5f6d:1,"Equinix LD6 (EQ4)","edge5-eq4 xe-8/0/1",10G,10000,Regular,full,"rs1.lon1, rs3.lon1"
"Alibaba Cloud CDN (AliCDN)",https://www.alibabacloud.com/,24429,Open,195.66.227.194,2001:7f8:4::5f6d:1,"Equinix LD6 (EQ4)","edge5-eq4 xe-5/1/1",10G,10000,Regular,full,"rs1.lon1, rs3.lon1"
"Alibaba Group",http://www.alibaba.com,45102,Open,195.66.227.152,2001:7f8:4::b02e:2,"Telehouse North (THN)","core3-thn VLAN: 101",ConneXions,10000,ConneXions,full,"rs1.lon1, rs3.lon1"
"Alibaba Group",http://www.alibaba.com,45102,Open,195.66.225.79,2001:7f8:4::b02e:1,"Equinix LD6 (EQ4)","edge5-eq4 xe-3/3/4",10G,10000,Regular,full,"rs1.lon1, rs3.lon1"
"Allied Telecom Group",http://www.alliedtelecom.net,22925,Open,206.55.196.39,2001:504:31::598d:1,"CoreSite Reston (COR)","edge1-cor.nva1 xe-11/2/3",10G,10000,Regular,full,"rs1.nva1, rs2.nva1"
"Allied Telecom Group",http://www.alliedtelecom.net,22925,Open,206.55.196.39,2001:504:31::598d:1,"CoreSite Reston (COR)","edge1-cor.nva1 xe-11/3/0",10G,10000,Regular,full,"rs1.nva1, rs2.nva1"
"Almaviva s.p.a.",https://www.almaviva.it,29419,"No data",195.66.227.150,,"Telehouse North (THN)","edge3-thn VLAN: 403",ConneXions,250,ConneXions,full,rs1.lon1
"AlpineDC SA",http://www.alpinedc.ch,198385,Open,195.66.227.128,2001:7f8:4::3:6f1:1,"Telehouse North (THN)","edge4-thn VLAN: 3301",ConneXions,1500,ConneXions,full,"rs1.lon1, rs3.lon1"
"Amatis Networks",http://www.amatisnetworks.com,34442,Open,195.66.225.135,2001:7f8:4::868a:1,"Telehouse East (THE)","edge4-the xe-2/3/4",10G,10000,Regular,full,"rs1.lon1, rs3.lon1"
Amazon,http://www.amazon.com/,16509,Selective,195.66.244.42,2001:7f8:4:2::407d:1,"Equinix MA3 Joule House (TCJ)","edge3-tcj-man1 ce1/1",100G,100000,Regular,full,"rs1.nva1, rs2.nva1"
Amazon,http://www.amazon.com/,16509,Selective,206.55.196.43,2001:504:31::407d:1,"Digital Realty IAD (44521 Hastings) ACC5 (DFT)","edge1-dft.nva1 et-4/3/0",100G,100000,Regular,full,"rs1.nva1, rs2.nva1"
Amazon,http://www.amazon.com/,16509,Selective,195.66.237.175,2001:7f8:4:1::407d:1,"Equinix LD4 (EQ4)","edge3-eq4-lon2 ce4/1",100G,100000,Regular,full,"rs1.nva1, rs2.nva1"
Amazon,http://www.amazon.com/,16509,Selective,195.66.225.175,2001:7f8:4::407d:1,"Telehouse West (THW)","core4-thw et-2/5/0",100G,100000,Regular,full,"rs1.nva1, rs2.nva1"
Amazon,http://www.amazon.com/,16509,Selective,195.66.225.175,2001:7f8:4::407d:1,"Telehouse West (THW)","core4-thw et-2/2/0",100G,100000,Regular,full,"rs1.nva1, rs2.nva1"
Amazon,http://www.amazon.com/,16509,Selective,195.66.237.175,2001:7f8:4:1::407d:1,"Equinix LD4 (EQ4)","edge3-eq4-lon2 ce24/1",100G,100000,Regular,full,"rs1.nva1, rs2.nva1"
Amazon,http://www.amazon.com/,16509,Selective,195.66.225.175,2001:7f8:4::407d:1,"Telehouse West (THW)","core4-thw et-2/5/1",100G,100000,Regular,full,"rs1.nva1, rs2.nva1"
Amazon,http://www.amazon.com/,16509,Selective,195.66.225.175,2001:7f8:4::407d:1,"Telehouse West (THW)","core4-thw et-2/1/0",100G,100000,Regular,full,"rs1.nva1, rs2.nva1"
Amazon,http://www.amazon.com/,16509,Selective,206.55.197.253,2001:504:31::407d:2,"Digital Realty IAD (44521 Hastings) ACC5 (DFT)","edge1-dft.nva1 et-3/3/0",100G,100000,Regular,full,"rs1.nva1, rs2.nva1"
Amazon,http://www.amazon.com/,16509,Selective,195.66.225.175,2001:7f8:4::407d:1,"Telehouse West (THW)","core4-thw et-2/1/2",100G,100000,Regular,full,"rs1.nva1, rs2.nva1"
Amazon,http://www.amazon.com/,16509,Selective,195.66.237.175,2001:7f8:4:1::407d:1,"Equinix LD4 (EQ4)","edge3-eq4-lon2 ce2/1",100G,100000,Regular,full,"rs1.nva1, rs2.nva1"
Amazon,http://www.amazon.com/,16509,Selective,195.66.225.175,2001:7f8:4::407d:1,"Telehouse West (THW)","core4-thw et-2/5/2",100G,100000,Regular,full,"rs1.nva1, rs2.nva1"
Amazon,http://www.amazon.com/,16509,Selective,195.66.237.175,2001:7f8:4:1::407d:1,"Equinix LD4 (EQ4)","edge3-eq4-lon2 ce3/1",100G,100000,Regular,full,"rs1.nva1, rs2.nva1"
Amazon,http://www.amazon.com/,16509,Selective,195.66.237.175,2001:7f8:4:1::407d:1,"Equinix LD4 (EQ4)","edge3-eq4-lon2 ce1/1",100G,100000,Regular,full,"rs1.nva1, rs2.nva1"
Amazon,http://www.amazon.com/,16509,Selective,195.66.225.175,2001:7f8:4::407d:1,"Telehouse West (THW)","core4-thw et-2/2/2",100G,100000,Regular,full,"rs1.nva1, rs2.nva1"
"Amito Ltd",http://www.everestdc.com,60610,Open,195.66.244.64,2001:7f8:4:2::ecc2:1,"Equinix MA1 Williams House (TCW)","edge7-tcw-man1 xe20",1000,1000,Regular,full,"rs1.lon1, rs1.man1, rs2.man1, rs3.lon1"
"Amito Ltd",http://www.everestdc.com,60610,Open,195.66.225.148,2001:7f8:4::ecc2:1,"Equinix LD6 (EQ4)","edge5-eq4 xe-5/0/1",10G,10000,Regular,full,"rs1.lon1, rs1.man1, rs2.man1, rs3.lon1"
"Andrews & Arnold Ltd",http://www.aaisp.net.uk,20712,Open,195.66.225.47,2001:7f8:4::50e8:1,"Telehouse North (THN)","edge1-thn xe-3/1/3",10G,10000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Andrews & Arnold Ltd",http://www.aaisp.net.uk,20712,Open,195.66.237.47,2001:7f8:4:1::50e8:1,"Telehouse North (THN)","edge4-thn-lon2 xe9",1000,1000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Andrews & Arnold Ltd",http://www.aaisp.net.uk,20712,Open,195.66.224.60,2001:7f8:4::50e8:2,"Equinix LD8 Harbour Exchange (TCH)","edge1-tch xe-7/3/2",10G,10000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"ANEXIA Internetdienstleistungs GmbH",http://www.anexia-it.com,42473,Selective,195.66.244.85,2001:7f8:4:2::a5e9:1,"Equinix MA1 Williams House (TCW)","edge7-tcw-man1 xe8",1000,1000,Regular,full,"rs1.lon1, rs1.man1, rs2.lon2, rs2.man1, rs3.lon1, rs4.lon2"
"ANEXIA Internetdienstleistungs GmbH",http://www.anexia-it.com,42473,Selective,195.66.226.113,2001:7f8:4::a5e9:1,"Telehouse North2 (TH2)","edge1-th2 xe-1/0/1",10G,10000,Regular,full,"rs1.lon1, rs1.man1, rs2.lon2, rs2.man1, rs3.lon1, rs4.lon2"
"ANEXIA Internetdienstleistungs GmbH",http://www.anexia-it.com,42473,Selective,195.66.238.113,2001:7f8:4:1::a5e9:1,"Telehouse North2 (TH2)","edge1-th2-lon2 xe2",1000,1000,Regular,full,"rs1.lon1, rs1.man1, rs2.lon2, rs2.man1, rs3.lon1, rs4.lon2"
ANEXIO,https://www.anexio.com,64252,Open,206.55.196.32,2001:504:31::fafc:1,"Digital Realty IAD (44521 Hastings) ACC5 (DFT)","edge1-dft.nva1 ge-0/3/4",1000,1000,Regular,full,"rs1.nva1, rs2.nva1"
"Angola Cables",http://angolacables.co.ao/,37468,Selective,195.66.226.95,2001:7f8:4::925c:1,"Interxion LON2 (IN2)","core3-in2 VLAN: 500",ConneXions,40000,ConneXions,"ConneXions,full","rs1.lon1, rs3.lon1"
"Anuvu UK Operations Ltd.",http://www.emc-corp.net/,27822,Open,195.66.237.45,2001:7f8:4:1::6cae:1,"Equinix LD8 Harbour Exchange (TCH)","edge3-tch-lon2 xe16",1000,1000,Regular,full,"rs2.lon2, rs4.lon2"
"Anuvu UK Operations Ltd.",http://www.emc-corp.net/,27822,Open,195.66.225.45,,"Equinix LD8 Harbour Exchange (TCH)","edge1-tch ge-4/2/6",1000,1000,Regular,full,"rs2.lon2, rs4.lon2"
"Anycast Holdings Pty Ltd",https://www.anycast.com.au/,58511,Open,195.66.238.214,2001:7f8:4:1::e48f:1,"Telehouse North (THN)","edge4-thn-lon2 xe27",1000,1000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Anycast Holdings Pty Ltd",https://www.anycast.com.au/,58511,Open,195.66.226.214,2001:7f8:4::e48f:1,"Telehouse North (THN)","edge2-thn xe-4/1/3",10G,10000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"APII.IO Limited",http://www.apii.io,39070,Open,195.66.225.68,2001:7f8:4::989e:1,"Telehouse North (THN)","edge4-thn VLAN: 506",ConneXions,1000,ConneXions,full,
"Aplikanusa Lintasarta",http://www.lintasarta.net/en-us/home.aspx,4800,Open,195.66.226.132,2001:7f8:4::12c0:1,"Telehouse North (THN)","core3-thn VLAN: 14",ConneXions,1000,ConneXions,full,"rs1.lon1, rs3.lon1"
"Apple Europe Limited",http://www.apple.com,714,Selective,195.66.226.146,2001:7f8:4::2ca:1,"Equinix LD6 (EQ4)","edge3-eq4 et-2/1/2",100G,100000,Regular,full,
"Apple Europe Limited",http://www.apple.com,714,Selective,206.55.196.101,2001:504:31::2ca:2,"CoreSite Reston (COR)","edge1-cor.nva1 et-3/3/0",100G,100000,Regular,full,
"Apple Europe Limited",http://www.apple.com,714,Selective,195.66.226.145,2001:7f8:4::2ca:2,"Equinix LD6 (EQ4)","edge3-eq4 et-9/0/5",100G,100000,Regular,full,
"Apple Europe Limited",http://www.apple.com,714,Selective,195.66.244.79,2001:7f8:4:2::2ca:1,"Equinix MA3 Joule House (TCJ)","edge3-tcj-man1 ce3/1",100G,100000,Regular,full,
"Apple Europe Limited",http://www.apple.com,714,Selective,195.66.226.145,2001:7f8:4::2ca:2,"Equinix LD6 (EQ4)","edge3-eq4 et-8/1/2",100G,100000,Regular,full,
"Apple Europe Limited",http://www.apple.com,714,Selective,195.66.226.148,2001:7f8:4::2ca:4,"Telehouse West (THW)","core3-thw et-2/1/1",100G,100000,Regular,full,
"Apple Europe Limited",http://www.apple.com,714,Selective,195.66.226.148,2001:7f8:4::2ca:4,"Telehouse West (THW)","core3-thw et-2/1/0",100G,100000,Regular,full,
"Apple Europe Limited",http://www.apple.com,714,Selective,206.55.196.100,2001:504:31::2ca:1,"CoreSite Reston (COR)","edge1-cor.nva1 et-3/1/0",100G,100000,Regular,full,
"Apple Europe Limited",http://www.apple.com,714,Selective,195.66.226.146,2001:7f8:4::2ca:1,"Equinix LD6 (EQ4)","edge3-eq4 et-4/0/2",100G,100000,Regular,full,
"Apple Europe Limited",http://www.apple.com,714,Selective,195.66.226.147,2001:7f8:4::2ca:3,"Telehouse West (THW)","core4-thw et-2/3/2",100G,100000,Regular,full,
